,Ajay.png,Akshay.png,Aman.jpg,dalama.png,dhoni.png,hitesh.jpg,jack.png,modi.png,p1.png,p2.png,p3.png,p4.png,p5.png,p6.png,ravi.jpg,Sachin.png,Salman.png,trump.png,virat.png,vivek.png
Ajay1.png,16.295115,6.643861,2.813222,2.96881,0.26342115,4.666167,4.4862213,0.14134696,1.4844415,0.19699575,1.7229304,0.70787543,2.9094946,0.0871433,1.3899119,0.7987775,2.078428,6.0569715,0.7433113,2.080279
AkshayKumar1.png,2.1145966,3.949249,0.75898564,0.52258974,0.23413001,1.214195,1.4524323,0.081575915,0.70206434,0.030131547,0.3371852,0.2834913,0.286718,0.0864492,0.08577791,0.93493885,0.90781575,2.5257475,0.41590294,1.7153951
Akshay_kumar.png,3.3399506,31.991934,1.3072526,1.3459767,0.22986819,1.8279405,3.3071153,0.093184985,1.1628938,0.024282176,0.40200922,0.6508603,0.92660606,0.030161427,0.92045933,1.4541441,1.0030355,3.4573843,0.5696313,2.6060522
Aman.jpg,2.1681101,1.3072526,26.94504,1.3808043,0.19615537,2.5107858,1.6636177,0.6058491,0.7636331,0.011206029,0.71068996,0.36566666,0.9032255,0.06697998,0.3507284,0.21643926,0.859402,1.2058431,0.35190406,0.47217628
Aman1.jpg,0.58552927,0.47016478,0.45424572,0.062036354,0.06498981,0.77084124,0.3591585,0.11182951,0.15820286,0.0057523213,0.016607694,0.011842023,0.43634844,0.09231732,0.004375204,0.51111794,0.16908693,3.0652587,0.033867862,0.18594097
AmanP.jpg,2.4013305,1.1747938,3.1009715,1.1636236,0.12559699,2.5179882,1.3871295,0.1714746,0.5976984,0.015845612,0.545842,0.24902317,0.5407612,0.02286666,0.25303686,0.20502271,0.8993278,1.4139017,0.30200046,0.33726364
Apman12.jpg,2.7256076,1.5852622,2.1060424,0.7901181,0.2662876,2.306735,1.5722247,0.34199494,0.61035806,0.07474158,0.5187056,0.24440855,0.7420491,0.08832835,0.44126132,0.22210291,0.9016087,2.0948982,0.34647167,0.32832214
bhaskar.jpg,0.079472326,0.017674979,0.06900225,0.07286836,0.11553757,0.017614085,0.13921577,0.25739247,0.062549084,0.02359036,0.08503623,0.015208363,0.07799515,0.0055792453,0.19779235,0.00895869,0.019846868,0.24680655,0.05501235,0.0038811625
dalaiLama.png,2.987055,1.3459767,1.3808043,78.58469,0.096015766,1.5616798,2.6407366,0.26781765,0.510628,0.03297632,0.7674043,0.28810266,1.0261308,0.0014851004,1.7834376,0.0933065,0.5118076,2.3172576,0.41358337,0.5571501
dalaiLama1.png,3.6526833,2.2104106,1.5582582,3.1168692,0.13969463,1.7536322,2.6236312,0.3199402,0.8067771,0.018630244,1.0308721,0.35508707,1.2909393,0.009431475,2.1094642,0.43101725,1.0225459,3.8073583,0.3664622,1.545017
dhoni.png,0.17771092,0.22986819,0.19615537,0.096015766,2.9301991,0.15692009,0.23367116,0.73008454,0.10672787,0.004660911,0.05095116,0.09011506,0.039292473,0.030464064,1.1190605,0.13288517,0.1887226,0.1601433,0.12416454,0.086054064
dhoni1.png,0.82484484,1.042701,0.42717844,0.6037512,1.0660203,0.1400918,1.025573,1.6063098,0.22003765,0.078551486,0.49709466,0.20949264,0.42980126,0.046875477,1.8899642,0.32083136,0.31810337,0.53356904,0.2806375,0.5168955
dhoni2.png,1.365666,2.2522593,0.53512967,0.22718345,0.19991645,0.67985916,1.476269,0.042135198,0.53232634,0.017542336,0.20531397,0.2836297,0.35312515,0.02048963,0.51507,1.1355082,0.57697415,0.9385552,0.48273754,1.523988
hitesh.jpg,2.7895248,1.8279405,2.5107858,1.5616798,0.15692009,31.397224,1.1485219,0.10170267,0.67671895,0.0020951552,0.40865347,0.16338192,0.31914002,0.0089353025,0.39282,0.29036465,1.0062096,1.8124104,0.28571838,0.6278661
Hitesh_left.jpg,2.0899084,1.169159,1.4616805,1.1586449,0.09194749,11.015513,0.64908296,0.09448231,0.5791012,0.013725043,0.44490844,0.14385511,0.3807188,0.09307885,0.5755751,0.16333069,0.48551404,1.261443,0.12653504,0.3759931
jackie1.png,2.3328764,1.7602955,1.347501,0.6302986,0.17468825,1.58107,1.7048018,0.08022391,1.0580412,0.028033601,0.72276485,0.54722726,0.59739596,0.21867369,0.19575624,0.5450074,1.2788235,0.9359978,0.5050807,0.44224527
modi.png,0.15459123,0.093184985,0.6058491,0.26781765,0.73008454,0.10170267,0.24711496,14.266466,0.17540616,0.010135402,0.15279837,0.35779294,0.19370648,1.6849003,0.34644684,0.02558484,0.5339332,0.2631729,0.06801158,0.07599569
modi2.png,8.605191,6.4817357,1.8156873,2.3963664,0.20433341,2.4672909,4.4402895,0.16123293,1.5488368,0.0595891,0.9058757,0.9263815,2.43288,0.38652056,3.7634537,1.3452897,1.6213535,2.5828376,0.5577534,2.149817
perosn6_left.png,0.2746624,0.031754084,0.07261477,0.0016522025,0.03250177,0.009993839,0.03761509,2.325799,0.02735374,0.00032661165,0.0005196861,0.0016684289,0.027021151,12.662941,0.00063763565,0.0013440917,0.08013287,0.14256331,0.0014004091,0.0
person1.png,0.9636892,1.1628938,0.7636331,0.510628,0.10672787,0.67671895,1.1527207,0.17540616,13.05576,0.05218746,0.733341,0.44871318,1.2611902,0.023098405,0.2967866,0.34446457,0.7012501,0.80936325,0.41056454,0.44639742
person1_left.png,1.0963297,0.9027919,0.7522859,0.4650092,0.0972719,0.66235274,1.2790041,0.16417526,4.1896577,0.07590593,0.5235121,0.30787256,0.8593477,0.04835752,0.16814506,0.25788411,0.7051264,0.6044787,0.32930592,0.2965171
person1_rightview.png,1.3252084,1.0106307,0.93374664,0.58673716,0.10439814,0.8873174,1.4719396,0.19848393,4.5276775,0.046834365,0.744835,0.36491126,1.1930736,0.052657742,0.3521783,0.27438456,0.81671953,0.764336,0.3311766,0.3624368
person2.png,0.21706468,0.024282176,0.011206029,0.03297632,0.004660911,0.0020951552,0.08888788,0.010135402,0.05218746,2.4743316,0.1756249,0.023147933,0.13640733,0.0003563036,0.061109323,0.017060712,0.017348854,0.123690896,0.044079777,0.001355933
person2_leftview.png,0.3395142,0.041909076,0.023079662,0.043915957,0.0057899747,0.0037669495,0.1462863,0.01254201,0.08272632,1.726291,0.19714291,0.05299359,0.23976442,0.0005089642,0.11033385,0.024117064,0.018785533,0.3138566,0.054913256,0.00477141
