,Ajay.png,Akshay.png,Aman.jpg,dalama.png,dhoni.png,hitesh.jpg,jack.png,modi.png,p1.png,p2.png,p3.png,p4.png,p5.png,p6.png,ravi.jpg,Sachin.png,Salman.png,trump.png,virat.png,vivek.png
Ajay1.png,55147.13453117941,56055.722624902446,97146.25801336869,61395.2489529931,128465.56432756601,77462.26426460822,62779.55405225494,98049.70500210594,87230.10568605314,72521.82262602064,73924.1477664775,93728.72544743154,65524.314960173375,57950.5701093613,77675.71871569648,57169.072460553354,70012.37966245683,79738.47009442808,86491.92866967415,65462.277144932865
AkshayKumar1.png,77591.32827835853,63819.22382793448,75839.55320939068,70233.08738052173,100602.14491252162,80607.96904773125,75050.3729504391,83568.551776371,63076.97282685655,59765.09143304308,72963.26623719637,77967.61157685927,69593.5427176976,60131.117825964284,62422.49741078933,68756.0953007077,51848.12171139857,70143.49336895048,69513.60038150808,76286.38541705853
Akshay_kumar.png,57825.423491747984,0.0,88243.43128528039,58613.172162919145,116577.61432196149,65686.26798654343,59869.83106707418,87817.03543162909,71399.60034201872,64749.618639803586,62187.04192997123,82053.8906877669,58860.03819230837,50772.69566410671,60674.663682627855,49010.02508671058,53372.40132315577,74437.56019644921,77295.11240693036,58851.85006437776
Aman.jpg,95915.91985171179,88243.43128528039,0.0,76245.8677962288,75881.83791922807,85329.17119602182,81492.68561656316,56034.40958018564,61128.34666502931,61555.40844637455,76106.84000140855,67862.33442786949,84040.81865974415,64841.46579157507,81796.86215253003,87068.93266831746,75480.62870697356,74586.0236706583,62497.983975485164,82819.81954218447
Aman1.jpg,71968.88200465532,66620.09605967256,56759.184930722884,59827.13150402583,85331.1780769491,72825.1670715557,63666.57668667289,52283.690812719025,43937.782488423334,62373.86419807578,48884.00647451066,80322.13689886493,59259.199125536616,44269.72615682189,78490.91460799778,64220.44879942836,67894.95402458124,63092.05275627034,53822.17235489478,63817.6643649703
AmanP.jpg,91521.07215827402,84740.8968031375,55392.03726168591,82796.93072813751,77488.84975272248,85665.05789993958,81630.33538458604,70274.69357457207,59948.206561998166,63264.32851931648,70832.1899915568,72150.38626369231,77124.32151403344,59856.62163871262,80492.93151575484,74816.61148434885,71027.57142124457,69311.41294909519,52717.12348943178,87514.62488635827
Apman12.jpg,81940.81224274018,74714.52680034854,48334.55569258913,66903.28547986265,81621.85610484486,75457.32322975683,62945.81484896355,61086.51888101007,53925.21180301474,61207.98086034206,60076.09585350899,76350.82199950436,68906.25970838933,52164.029215542774,76945.60320122262,67919.55556391693,69091.69191733547,70796.56611022881,57708.50487579799,72713.3490701673
bhaskar.jpg,113904.02400266638,110793.31251479035,67918.41376975761,101791.5720528964,80538.3672605796,109852.80192148036,111780.51238028926,69895.40631543678,70790.48069479398,89999.85266654607,86446.13576094653,99435.7033011785,93346.3426385844,84079.98768434733,108511.15120115536,110896.43612398011,98799.826138511,91286.00839120966,76162.86060804177,105567.91433006526
dalaiLama.png,62571.73249159719,58613.172162919145,76245.8677962288,0.0,119841.50599020357,72876.81249204029,62280.49554234456,81750.222684712,74823.05163517458,62811.59002126916,72939.71785659717,82908.75390451842,65762.02293877523,54783.39328665211,72657.89544158295,61910.91554806793,63882.367880347076,67313.8085462411,78979.81750422066,47642.1513682999
dalaiLama1.png,76877.72197457467,73573.98409764147,62049.085738631155,60240.550752794414,104565.46981197952,80108.68946624955,80569.25460744936,80092.71376348787,74147.1495675997,55868.98266480248,81171.17140955894,69265.19776193525,75612.61040329185,60360.07186046087,66411.12954166644,74929.36365004042,60465.05194738528,66998.95473811514,73279.0856247538,66631.60529358422
dhoni.png,131126.5017416388,116577.61432196149,75881.83791922807,119841.50599020357,0.0,119576.72408541723,109791.33349677469,75099.79052567323,69329.12317345431,102087.87293797437,86886.3009858286,94965.62532832604,106532.88683312773,95350.64617505221,107076.00683626562,111691.27200457518,105938.2579241324,109926.70802402844,84776.224597466,119622.98455982446
dhoni1.png,108569.44947820266,92265.86465210197,76011.65570489831,99472.99293275537,71382.85884580415,104427.6400384496,96168.82749623185,81620.37643873005,68931.39813611792,78624.788076026,83279.05930064293,75371.9819627957,92935.05510839277,82922.53735264014,81267.17339122851,93109.75862389506,78036.20498845392,88313.84454319719,76687.87995504896,103233.56079299019
dhoni2.png,74948.40457941717,61821.65105365595,79376.73094805556,72624.40257929837,96676.43108845092,75435.21720655412,64355.92851478409,81073.47670477688,57366.510788089596,68984.27299754633,56087.69625327822,83252.36820655614,64477.97122273622,53481.278855315344,75714.36378917807,49888.22047337428,68981.94647877081,76746.57448381654,62059.468600689775,71484.86241855683
hitesh.jpg,82129.45260988898,65686.26798654343,85329.17119602182,72876.81249204029,119576.72408541723,0.0,68251.31931325576,87683.97680306248,78186.22815432395,78551.78286964593,70150.07844614288,93226.13944060968,65627.84924100438,59913.01834326159,86736.57002095482,66192.64532408415,78800.28027234421,84880.58428168364,82766.44264434712,69098.11098720427
Hitesh_left.jpg,83182.17252512704,71187.7869160153,84678.33110660601,76405.96991727807,119117.91271257233,50793.0423581813,78964.63733849475,89685.06021629243,76112.5215125606,79976.49318393499,72977.00526878312,96836.74490088977,70733.82620783355,63826.03621563852,91891.74559774126,73156.66097492422,81333.66861884443,84066.87738937375,80241.64451206119,74141.1227727231
jackie1.png,58551.59283913633,52144.90688456544,97484.98279735193,64123.758771612884,128392.42564497331,64646.140426169295,54181.816913056726,95833.61887145868,83503.10754097717,78541.60067123664,65178.587987160325,99125.159374399,60420.38449066672,53788.55868119167,75952.54486190702,44888.40771290512,71771.19510639348,82408.90351169587,87302.32341696296,56474.62941888154
MahatmaGandhi.png,62420.48408976015,56926.054122870664,77976.39431905017,54761.58314913841,107950.58449587015,62147.05631001359,58161.956947819424,75211.58436038959,55126.81128997033,67269.93239181975,52234.76453474257,86123.85703740863,57123.12925602028,46194.45450484289,81328.31014474604,51018.78709847971,68868.90409321176,70593.12324865645,66526.89340409636,52735.021209818435
modi.png,96714.42110667881,87817.03543162909,56034.40958018564,81750.222684712,75099.79052567323,87683.97680306248,80063.58963973574,0.0,55234.941776017105,81798.13378066763,60338.31678129578,91055.41333166305,78537.22024619918,67810.50198162523,92040.52703564882,88777.25978537522,88662.46469053294,85432.59116988083,71767.04035976404,83023.53572331162
modi2.png,62059.67655410396,64914.8765538378,103566.99043131455,62654.72066013861,146151.5445248527,74923.21977865073,75609.12759713604,109143.26071727929,100597.15333447562,80718.152580445,88859.14085787686,100385.83001101301,75870.48469596065,71672.40465479025,86017.39324694744,60122.2397370557,77463.73459238846,81672.54543602765,96708.16392632009,60913.17563548957
perosn6_left.png,65553.3992406191,51954.98926955909,69104.54571878756,56344.81013367602,98076.3738267275,59520.689243321096,56972.50543902734,68180.953146755,51128.83598322966,60414.347997805955,48366.453870425525,79081.11928267076,51300.98693007767,31166.912343060227,68707.0670237058,51137.734218480975,59127.415798426366,63694.36771018298,58037.010570841776,57807.855054481995
person1.png,85659.81179643112,71399.60034201872,61128.34666502931,74823.05163517458,69329.12317345431,78186.22815432395,69978.27152052271,55234.941776017105,0.0,70567.08210631923,45404.89034234088,78506.50818881196,63266.392192063555,52641.355890592335,79500.77677607936,68775.92424678856,71119.53425044345,75587.06270917002,55695.51686626133,73920.67439492147
person1_left.png,82167.54903244955,65952.10133119338,64899.134901784324,72265.77214006642,75748.66886619196,75006.83643508771,66001.0978242029,59569.4639559565,29605.82349808902,71887.84243528248,41981.78919484018,81565.10790160214,56205.53248569041,45405.739031536534,74818.17733011143,65388.52033040662,68093.75933960469,75016.60390873476,56497.02523142258,71157.81307769372
person1_rightview.png,82559.05373730976,63536.103988205,68172.8780014457,70457.5021058794,77950.66256934575,71683.74997166372,62780.54598360865,59786.41685199072,36637.64775473448,71438.86263092379,42444.3174995193,81508.2045379482,52741.24880963666,44660.03297132684,74657.49247731268,63733.252741406504,69385.12276417762,76418.25343463432,59260.236972189035,70761.54256374009
person2.png,71134.43638632417,64749.618639803586,61555.40844637455,62811.59002126916,102087.87293797437,78551.78286964593,74737.93996358209,81798.13378066763,70567.08210631923,0.0,78821.13030146167,51516.995399576634,75446.07847993162,55572.77947880599,59806.241288012745,65348.313084577785,44829.409933658506,61017.27835621645,57116.489335392456,77274.6396691696
person2_leftview.png,73964.47902202787,62783.06842612903,67684.18515428844,65133.311200951546,102235.07791360067,76554.40144759804,72931.50601077698,85822.40793056322,72138.0431256629,41342.47383744713,77100.3174247681,52890.18844738597,69702.18510922021,57822.16950270891,61496.13670792662,61723.27120300738,46857.6746542122,66988.42854553314,61596.21807383957,76015.50913464962
person2_rightview.png,77056.324432197,59201.176905531196,72784.98489386393,66928.53135995142,107120.60055843601,74397.54044993692,69950.9421023048,88618.51963895583,75151.1859786657,43886.42046237082,76326.17695784324,60092.392563451824,72513.52586242101,55877.30757651088,59723.62457185599,60146.24821217031,48840.31615376788,68750.50593995655,63917.719929609506,75534.64412440162
person3.png,74612.26049383573,62187.04192997123,76106.84000140855,72939.71785659717,86886.3009858286,70150.07844614288,60858.32171527572,60338.31678129578,45404.89034234088,78821.13030146167,0.0,92587.68834461739,46407.90460686627,46567.26976106716,82194.50317995723,58760.25565805513,75466.75843707612,80037.44246288732,64926.72215659743,67050.5656799404
person3_leftview.png,76529.11109505976,68681.94188431192,73209.3979622835,74318.78335925582,90625.40424185705,69150.17757750157,67928.53131784906,63813.63922391513,48843.86037159635,79176.91159043778,38885.75779125308,95836.20888787285,55995.28929293963,49020.304160623076,87000.36116016991,61443.26924895842,79106.96743018279,76460.39712818657,62610.09943291897,69746.17112788343
person3_rightview.png,76430.79178577178,64013.76496504482,77486.83266207234,74319.67139324555,96527.21731200999,64273.94992530022,59487.60754140311,70749.14757790373,56923.727109176536,76991.41419015499,41722.42180171233,93779.39119017568,55142.76983431282,45602.419694573226,79695.42175056231,56657.19924246168,74474.195396795,74957.44800218321,65871.04642405493,68170.02243655198
